trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
1451,23:33:00,23:33:00,81,7,0,0,17.7559
1451,23:37:00,23:37:00,87,8,0,0,19.3642
1451,23:41:00,23:41:00,136,9,0,0,20.4388
1451,23:47:00,23:47:00,145,10,0,0,22.7051
1451,23:53:00,23:53:00,27,11,0,0,26.1081
1451,23:57:00,23:57:00,77,12,0,0,28.1258
1451,24:02:00,24:02:00,30,13,0,0,30.2907
1451,24:06:00,24:06:00,92,14,0,0,32.3710
1451,24:10:00,24:10:00,91,15,0,0,34.6038
1451,24:18:00,24:18:00,34,16,0,0,38.8767
1451,24:27:00,24:27:00,35,17,0,0,43.0746
1452,14:35:00,14:35:00,105,1,0,0,0.0000
1452,14:51:00,14:51:00,106,2,0,0,10.4133
1452,14:57:00,14:57:00,23,3,0,0,13.1761
1452,15:00:00,15:00:00,112,4,0,0,14.0746
1452,15:05:00,15:05:00,97,5,0,0,15.7110
1452,15:07:00,15:07:00,140,6,0,0,16.4689
1452,15:10:00,15:10:00,81,7,0,0,17.7557
1452,15:14:00,15:14:00,87,8,0,0,19.3640
1452,15:17:00,15:17:00,136,9,0,0,20.4386
1452,15:23:00,15:23:00,145,10,0,0,22.7049
1452,15:29:00,15:29:00,27,11,0,0,26.1080
1452,15:33:00,15:33:00,77,12,0,0,28.1256
1452,15:37:00,15:37:00,30,13,0,0,30.2905
1452,15:41:00,15:41:00,92,14,0,0,32.3708
1452,15:45:00,15:45:00,91,15,0,0,34.6036
1452,15:52:00,15:52:00,94,16,0,0,38.3002
1452,15:55:00,15:55:00,34,17,0,0,38.8763
1452,16:05:00,16:05:00,35,18,0,0,43.0742
1453,07:07:00,07:07:00,105,1,0,0,0.0000
1453,07:16:00,07:16:00,38187,2,0,0,4.9894
1453,07:26:00,07:26:00,106,3,0,0,10.4133
1453,07:32:00,07:32:00,23,4,0,0,13.1761
1453,07:35:00,07:35:00,112,5,0,0,14.0746
1453,07:40:00,07:40:00,140,6,0,0,16.4691
1453,07:43:00,07:43:00,81,7,0,0,17.7559
1453,07:47:00,07:47:00,87,8,0,0,19.3642
1453,07:50:00,07:50:00,136,9,0,0,20.4388
1453,07:55:00,07:55:00,145,10,0,0,22.7051
1453,08:01:00,08:01:00,27,11,0,0,26.1081
1453,08:05:00,08:05:00,77,12,0,0,28.1258
1453,08:10:00,08:10:00,30,13,0,0,30.2907
1453,08:14:00,08:14:00,92,14,0,0,32.3710
1453,08:18:00,08:18:00,91,15,0,0,34.6038
1453,08:25:00,08:25:00,94,16,0,0,38.3004
1453,08:27:00,08:27:00,34,17,0,0,38.8765
1453,08:35:00,08:35:00,35,18,0,0,43.0744
1454,10:04:00,10:04:00,105,1,0,0,0.0000
1454,10:14:00,10:14:00,38187,2,0,0,4.9894
1454,10:23:00,10:23:00,106,3,0,0,10.4133
1454,10:29:00,10:29:00,23,4,0,0,13.1761
1454,10:32:00,10:32:00,112,5,0,0,14.0746
1454,10:37:00,10:37:00,140,6,0,0,16.4691
1454,10:40:00,10:40:00,81,7,0,0,17.7559
1454,10:44:00,10:44:00,87,8,0,0,19.3642
1454,10:47:00,10:47:00,136,9,0,0,20.4388
1454,10:52:00,10:52:00,145,10,0,0,22.7051
1454,10:57:00,10:57:00,27,11,0,0,26.1081
1454,11:01:00,11:01:00,77,12,0,0,28.1258
1454,11:05:00,11:05:00,30,13,0,0,30.2907
1454,11:09:00,11:09:00,92,14,0,0,32.3710
1454,11:13:00,11:13:00,91,15,0,0,34.6038
1454,11:20:00,11:20:00,94,16,0,0,38.3004
1454,11:23:00,11:23:00,34,17,0,0,38.8765
1454,11:34:00,11:34:00,35,18,0,0,43.0744
1455,13:51:00,13:51:00,105,1,0,0,0.0000
1455,14:01:00,14:01:00,38187,2,0,0,4.9894
1455,14:11:00,14:11:00,106,3,0,0,10.4133
1455,14:17:00,14:17:00,23,4,0,0,13.1761
1455,14:20:00,14:20:00,112,5,0,0,14.0746
1455,14:25:00,14:25:00,140,6,0,0,16.4691
1455,14:28:00,14:28:00,81,7,0,0,17.7559
1455,14:32:00,14:32:00,87,8,0,0,19.3642
1455,14:36:00,14:36:00,136,9,0,0,20.4388
1455,14:42:00,14:42:00,145,10,0,0,22.7051
1455,14:48:00,14:48:00,27,11,0,0,26.1081
1455,14:52:00,14:52:00,77,12,0,0,28.1258
1455,14:57:00,14:57:00,30,13,0,0,30.2907
1455,15:01:00,15:01:00,92,14,0,0,32.3710
1455,15:06:00,15:06:00,91,15,0,0,34.6038
1455,15:13:00,15:13:00,94,16,0,0,38.3004
1455,15:16:00,15:16:00,34,17,0,0,38.8765
1455,15:25:00,15:25:00,35,18,0,0,43.0744
1456,23:56:00,23:56:00,105,1,0,0,0.0000
1456,24:06:00,24:06:00,38187,2,0,0,4.9894
1456,24:17:00,24:17:00,106,3,0,0,10.4133
1456,24:24:00,24:24:00,23,4,0,0,13.1761
1456,24:27:00,24:27:00,112,5,0,0,14.0746
1456,24:32:00,24:32:00,140,6,0,0,16.4691
1456,24:35:00,24:35:00,81,7,0,0,17.7559
1456,24:39:00,24:39:00,87,8,0,0,19.3642
1456,24:43:00,24:43:00,136,9,0,0,20.4388
1456,24:49:00,24:49:00,145,10,0,0,22.7051
1456,24:55:00,24:55:00,27,11,0,0,26.1081
1456,24:59:00,24:59:00,77,12,0,0,28.1258
1456,25:04:00,25:04:00,30,13,0,0,30.2907
1456,25:08:00,25:08:00,92,14,0,0,32.3710
1456,25:13:00,25:13:00,91,15,0,0,34.6038
1456,25:20:00,25:20:00,94,16,0,0,38.3004
1456,25:22:00,25:22:00,34,17,0,0,38.8765
1456,25:31:00,25:31:00,35,18,0,0,43.0744
1457,18:01:00,18:01:00,63,1,0,0,0.0000
1457,18:17:00,18:17:00,106,2,0,0,7.7780
1457,18:28:00,18:28:00,140,3,0,0,13.8343
1457,18:31:00,18:31:00,81,4,0,0,15.1210
1457,18:35:00,18:35:00,87,5,0,0,16.7294
1457,18:42:00,18:42:00,145,6,0,0,20.0697
1457,18:48:00,18:48:00,27,7,0,0,23.4727
1457,18:52:00,18:52:00,77,8,0,0,25.4903
1457,18:57:00,18:57:00,30,9,0,0,27.6553
1457,19:01:00,19:01:00,92,10,0,0,29.7356
1457,19:06:00,19:06:00,91,11,0,0,31.9684
1457,19:14:00,19:14:00,94,12,0,0,35.6650
1457,19:16:00,19:16:00,34,13,0,0,36.2411
1457,19:24:00,19:24:00,35,14,0,0,40.4390
1457,19:31:00,19:31:00,39472,15,0,0,45.3875
1457,19:37:00,19:37:00,67,16,0,0,47.7938
1457,19:43:00,19:43:00,101,17,0,0,50.2737
1457,19:48:00,19:48:00,93,18,0,0,52.4364
1457,20:04:00,20:04:00,54,19,0,0,59.8176
1458,20:51:00,20:51:00,105,1,0,0,0.0000
1458,21:01:00,21:01:00,38187,2,0,0,4.9894
1458,21:10:00,21:10:00,106,3,0,0,10.4133
1458,21:17:00,21:17:00,23,4,0,0,13.1761
1458,21:20:00,21:20:00,112,5,0,0,14.0746
1458,21:25:00,21:25:00,140,6,0,0,16.4691
1458,21:28:00,21:28:00,81,7,0,0,17.7559
1458,21:32:00,21:32:00,87,8,0,0,19.3642
1458,21:36:00,21:36:00,136,9,0,0,20.4388
1458,21:42:00,21:42:00,145,10,0,0,22.7051
1458,21:48:00,21:48:00,27,11,0,0,26.1081
1458,21:52:00,21:52:00,77,12,0,0,28.1258
1458,21:57:00,21:57:00,30,13,0,0,30.2907
1458,22:01:00,22:01:00,92,14,0,0,32.3710
1458,22:05:00,22:05:00,91,15,0,0,34.6038
1458,22:12:00,22:12:00,94,16,0,0,38.3004
1458,22:15:00,22:15:00,34,17,0,0,38.8765
1458,22:22:00,22:22:00,35,18,0,0,43.0744
1459,06:15:00,06:15:00,63,1,0,0,0.0000
