route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
16,7,2982,"RvLN WATERFRONT ENTER CENTER",0,"343RL005",1327
16,7,2983,"RvLN WATERFRONT ENTER CENTER",0,"343RL001",1327
16,7,2984,"RvLN WATERFRONT ENTER CENTER",0,"343RL002",1327
16,7,2985,"RvLN WATERFRONT ENTER CENTER",0,"343RL004",1327
16,7,2986,"RvLN WATERFRONT ENTER CENTER",0,"343RL006",1327
16,7,2987,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1327
16,7,2988,"RvLN WATERFRONT ENTER CENTER",0,"343RL005",1327
16,7,2989,"RvLN WATERFRONT ENTER CENTER",0,"343RL001",1327
16,7,2990,"RvLN WATERFRONT ENTER CENTER",0,"343RL002",1327
16,7,2991,"RvLN WATERFRONT ENTER CENTER",0,"343RL004",1327
16,7,2992,"RvLN WATERFRONT ENTER CENTER",0,"343RL006",1327
16,7,2993,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1327
16,7,2994,"RvLN WATERFRONT ENTER CENTER",0,"343RL005",1327
16,7,2995,"RvLN WATERFRONT ENTER CENTER",0,"343RL001",1327
16,7,2996,"RvLN WATERFRONT ENTER CENTER",0,"343RL002",1327
16,7,2997,"RvLN WATERFRONT ENTER CENTER",0,"343RL004",1327
16,7,2998,"RvLN WATERFRONT ENTER CENTER",0,"343RL006",1327
16,7,2999,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1327
16,7,3000,"RvLN WATERFRONT ENTER CENTER",0,"343RL005",1327
16,7,3001,"RvLN WATERFRONT ENTER CENTER",0,"343RL001",1327
16,7,3002,"RvLN WATERFRONT ENTER CENTER",0,"343RL002",1327
16,7,3003,"RvLN WATERFRONT ENTER CENTER",0,"343RL004",1327
16,7,3004,"RvLN WATERFRONT ENTER CENTER",0,"343RL006",1327
16,7,3005,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1327
16,7,3006,"RvLN WATERFRONT ENTER CENTER",0,"343RL005",1327
16,7,3007,"RvLN WATERFRONT ENTER CENTER",0,"343RL001",1327
16,7,3008,"RvLN WATERFRONT ENTER CENTER",0,"343RL002",1327
16,7,3009,"RvLN WATERFRONT ENTER CENTER",0,"343RL004",1327
16,7,3010,"RvLN WATERFRONT ENTER CENTER",0,"343RL006",1327
16,7,3011,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1327
16,7,3012,"RvLN WATERFRONT ENTER CENTER",0,"343RL005",1327
16,7,3013,"RvLN WATERFRONT ENTER CENTER",0,"343RL001",1327
16,7,3014,"RvLN WATERFRONT ENTER CENTER",0,"343RL002",1327
16,7,3015,"RvLN WATERFRONT ENTER CENTER",0,"343RL004",1327
16,7,3016,"RvLN WATERFRONT ENTER CENTER",0,"343RL006",1327
16,7,3017,"RvLN WATERFRONT ENTER CENTER",0,"343RL002",1328
16,7,3018,"RvLN WATERFRONT ENTER CENTER",0,"343RL006",1328
16,7,3019,"RvLN WATERFRONT ENTER CENTER",0,"343RL001",1329
16,7,3020,"RvLN WATERFRONT ENTER CENTER",0,"343RL004",1329
16,7,3021,"RvLN TRENTON",1,"343RL001",1330
16,7,3022,"RvLN TRENTON",1,"343RL002",1330
16,7,3023,"RvLN TRENTON",1,"343RL004",1330
16,7,3024,"RvLN TRENTON",1,"343RL006",1330
16,7,3025,"RvLN TRENTON",1,"343RL003",1330
16,7,3026,"RvLN TRENTON",1,"343RL005",1330
